Betelgeuse,"(Beetlejuice): The Ghost with the Most."
Bhoot,"(Indian folklore): The restless ghost of a deceased person, usually appearing in human form but with backward-facing feet. Bhoots tend to appear in white, often floating above the ground or in trees, and cast no shadow."
Bloody Mary,"(American folklore): Other urban legends may come and go, but proud Mary keeps on burning. As long as there are sleepover parties, there will be someone bold enough to say her name three times in front of a mirror at midnight. We should totally hook her up with Betelgeuse. Or the Candyman."
Bogle,"(Scottish/English folklore): Goblin-esque ghostly beings who delight in messing with humans, usually to annoy, perplex, or simply frighten (rather than inflicting serious harm). For example, “Tatty Bogle” would hide in potato fields and cause blight, when not attacking unsuspecting humans. Hilarious!"
Casper,"(Cartoons/comics): Starting out in (some oddly dark) animated cartoons in the mid-40s, Casper has been through various incarnations in serial cartoons, comic books, and TV, with a live-action film in 1995. Casper’s backstory has changed a bit over the years, but regardless of how he became a ghost, it seems clear that he probably isn’t out to get us. Unless he’s just been lulling us all into a false sense of security for the six decades."
Chindi,"(Navajo folklore): The ghost that leaves the body with a person’s last breath, containing everything that was bad or unharmonious in their spirit. After death, the dead person’s name is never spoken and their remains and possessions are avoided in order to avoid chindi-inflicted “ghost sickness.”"
Cihuateteo,"(Aztec mythology): The ancient Aztecs regarded childbirth as a form of battle, so women who died giving birth were honored as fallen warriors. In death, they became the fearsome Cihuateteo, known for haunting crossroads, causing sickness and madness, and stealing children. Do not get on their bad side."
Clytemnestra,"(Greek myth/drama): One of the first ghosts to appear in a work of fiction, Aeschylus’s Oresteia (458 BC) portrays her as a scheming femme fatale who murders her husband and is in turn killed by her son, Orestes. Her vengeful spirit appears to spur The Furies to action, urging them to torment and punish Orestes. Even in death, she’s not a woman to be trifled with..."
Draugr,"(Norse mythology): Undead Vikings who possess superhuman strength, the ability to swell and increase their size or shapeshift at will, and reek of decay. They delight in violently slaughtering and sometimes consuming their victims, usually people who have trespassed on the graves or burial mounds the draugr guards, although sometimes they roam and rampage, killing animals and humans alike."
Dybbuk,"(Jewish Folklore): Malevolent spirit believed to be the soul of a dead person, able to possess the living. Contrast with Ibbur."
Gjenganger,"(Scandinavian folklore): The ghost of a dead person (often murderers, murder victims, or suicides) who, though undead, took on corporeal form and threatened the living with violence or torment. They could also administer the dødningeknip (or “dead man’s pinch), which would cause disease and death to befall the victim."
Guĭ,"(Chinese folklore): The general Chinese term for ghosts, there are many different types and categorizations of Guĭ; Yuān Guǐ, for example, is the term for a ghost who has died a wrongful death, Wú Tóu Guǐ is a wandering headless specter, and Shuǐ Guǐ are ghosts of the drowned, who attack the living and drag them under water, hoping to drown their victims and take possession of their body. The spirits of the dead are celebrated in Chinese culture are celebrated in an annual ghost festival, when the realms of the living and the realms of Heaven and Hell are open, allowing the dead to interact with the living, and particularly their family and descendants."
Ibbur,"(Jewish Folklore): Unlike the dybbuk, a positive form of possession in which a benevolent soul temporarily inhabits a living person in a beneficial and positive way."
Jima,"(Amazonian folklore): Feared by the Wari, an Amazonian rainforest tribe, Jima are terrifying specters known for grabbing their living victims with their incredibly strong, cold, poisonous hands and attempting to tear the victim’s spirit away."
Jinn,"(Quran/Islamic mythology): Jinn (also known as djinn or genies), are described in the Quran as spirits made of smokeless, scorching fire, and can be evil, good, or neutral in their interactions with humans."
La Llorona,"(Spanish/Mexican legend): The Weeping Woman, a spirit who drowned her children in order to be with her lover, but was rejected and committed suicide. Constantly crying, La Llorona is doomed to eternally search for her children in vain, sometimes attempting to steal living children who wander or misbehave."
Moaning Myrtle,"(Harry Potter): Muggle-born witch, killed by a Basilisk when she caught Tom Riddle opening the Chamber of Secrets. Her ghost haunts the Hogwarts bathroom in which she died (occasionally branching out to other bathrooms in the castle). Myrtle sometimes helps Harry, when she’s not crying or desperately flirting with him."
Mr. Boogedy,"(Mr. Boogedy): The star of a surprisingly unsettling late-80s Disney movie, Mr. Boogedy is the ghost of cranky pilgrim who sold his soul to Satan for a magic cloak, and ends up haunting David Faustino and Kristy Swanson, for some reason."
Nachzehrer,"(German folklore): Supernatural being similar to a vampire, often tied to suicide or accidental death. The nachzehrer awakes after death and often attempts to devour its living family members, but sometimes consumes its own flesh in the grave. Powers include causing death by casting a shadow on the living, or by ringing church bells, killing everyone within hearing."
Blinky,"(Video game): Pac-Man’s nemeses, each ghost has a nickname and is associated with a particular character trait within the game. “Blinky” (red) shadows Pac-Man, chasing him; “Pinky” (pink) is speedy; “Inky” (blue) is bashful, and “Clyde” (orange) is pokey, slower and more random in his movements. This developed out of the original Japanese version, Puck-Man, in which the ghosts’ personalities can be translated as Chaser, Ambusher, Fickle, and Stupid, respectively."
Pinky,"(Video game): Pinky, whose original name is listed as Speedy, is a pink ghost who, in the original Pac-Man arcade game, positions itself in front of Pac-Man. In the Pac-Man cartoon, Pinky (voiced by Chuck McCann) is depicted as a male dimwitted shape shifter. In recent games, and Pac-Man and the Ghostly Adventures, Pinky (voiced by Ashleigh Ball in the TV series and by Julia Kliewer in the video game and sequel) is depicted as a female with a crush on Pac-Man, which often puts her at odds with Cylindria."
Inky,"(Video game): Inky, whose original name is listed as Bashful, is a cyan ghost who, in the original Pac-Man arcade game, has a fickle mood. He can be unpredictable. Sometimes he chases Pac-Man aggressively like Blinky; other times he jumps ahead of Pac-Man as Pinky would. He might even wander off like Clyde on occasion. In the Pac-Man cartoon, Inky (voiced by Barry Gordon) is depicted as dim and loony. In Pac-Man and the Ghostly Adventures, Inky (voiced by Lee Tockar in the TV series and by Bryce Papenbrook in the video game) is the youngest member. Though the smartest, he lacks focus most of the time. In Pac-Man, Inky likes to appear in front of Pac-Man's face."
Clyde,"(Video game): Clyde, whose original name is listed as Pokey, is an orange ghost who, in the original Pac-Man arcade game, acts stupid. He will chase after Pac-Man in Blinky's manner, but will wander off to his home corner when he gets too close. In Ms. Pac-Man, this ghost is named Sue, and in Jr. Pac-Man, this ghost is named Tim. In the animated series, Clyde (voiced by Neil Ross) is the leader of the group. In recent games and Pac-Man and the Ghostly Adventures, Clyde (voiced by Brian Drummond in the TV series and by Orion Acaba in the video game) is depicted as a large ghost who is simple, but not unintelligent and has an appetite equal to Pac-Man's."
Patrick Swayze,"(Ghost): The sexiest ghost of all. Good with clay and Whoopi Goldberg."
Phi Tai Hong,"(Thai folkore): The most feared type of ghost in all of Thai folklore, a restless and angry spirit of a person who suffered a violent death."
Pishacha,"(Hindu mythology): Demonic ghosts that feed on flesh and human energies, capable of possessing humans and altering their thoughts, sometimes leading to madness. Like bhuts, pishacha are often depicted as haunting cremation grounds."
Poltergeist,"(Various folklores): While the common term for this comes from the German words for “noisy ghost,” poltergeists feature in the folklore of many cultures. The term usually denotes a disruptive entity that haunts a particular person via strange noises and even petty physical attacks. Poltergeist activity is a popular subject in TV in movies, featuring in everything from Blithe Spirit to Harry Potter to the Poltergeist movies."
Revenant,"(European folklore): General term for an undead corpse or visible ghost that returns from the grave, usually for malevolent purposes. Stories involving revenants usually depict a specific undead person who returns with a purpose, such as revenge against a killer or those responsible for their death, or to harass people who wronged them during life."
Ringwraith,"(Lord of the Rings): Not technically ghosts, perhaps, but certainly spooky enough to make the list, the Ringwraiths (also known as Nazgûl or Black Riders) began as nine mortal men to whom Sauron gave Rings of Power. The rings gave them power and extended their lives, but it also corrupted and destroyed them, turning them into undead thralls even after their corporeal form faded away."
